Date;State;PET_Phase
2020-03-10;State of Acre;Preparation
2020-03-11;State of Acre;Preparation
2020-03-12;State of Acre;Preparation
2020-03-13;State of Acre;Preparation
2020-03-14;State of Acre;Preparation
2020-03-15;State of Acre;Preparation
2020-03-16;State of Acre;Preparation
2020-03-17;State of Acre;Preparation
2020-03-18;State of Acre;Preparation
2020-03-19;State of Acre;Preparation
2020-03-20;State of Acre;Response
2020-03-21;State of Acre;Response
2020-03-22;State of Acre;Response
2020-03-23;State of Acre;Response
2020-03-24;State of Acre;Response
2020-03-25;State of Acre;Response
2020-03-26;State of Acre;Response
2020-03-27;State of Acre;Response
2020-03-28;State of Acre;Trough
2020-03-29;State of Acre;Trough
2020-03-30;State of Acre;Trough
2020-03-31;State of Acre;Trough
2020-04-01;State of Acre;Trough
2020-04-02;State of Acre;Trough
2020-04-03;State of Acre;Trough
2020-04-04;State of Acre;Trough
2020-04-05;State of Acre;Trough
2020-04-06;State of Acre;Trough
2020-04-07;State of Acre;Trough
2020-04-08;State of Acre;Trough
2020-04-09;State of Acre;Trough
2020-04-10;State of Acre;Trough
2020-04-11;State of Acre;Trough
2020-04-12;State of Acre;Trough
2020-04-13;State of Acre;Trough
2020-04-14;State of Acre;Trough
2020-04-15;State of Acre;Trough
2020-04-16;State of Acre;Trough
2020-04-17;State of Acre;Trough
2020-04-18;State of Acre;Trough
2020-04-19;State of Acre;Trough
2020-04-20;State of Acre;Trough
2020-04-21;State of Acre;Trough
2020-04-22;State of Acre;Trough
2020-04-23;State of Acre;Trough
2020-04-24;State of Acre;Trough
2020-04-25;State of Acre;Trough
2020-04-26;State of Acre;Trough
2020-04-27;State of Acre;Trough
2020-04-28;State of Acre;Trough
2020-04-29;State of Acre;Trough
2020-04-30;State of Acre;Trough
2020-05-01;State of Acre;Trough
2020-05-02;State of Acre;Trough
2020-05-03;State of Acre;Trough
2020-05-04;State of Acre;Trough
2020-05-05;State of Acre;Trough
2020-05-06;State of Acre;Trough
2020-05-07;State of Acre;Trough
2020-05-08;State of Acre;Trough
2020-05-09;State of Acre;Trough
2020-05-10;State of Acre;Trough
2020-05-11;State of Acre;Trough
2020-05-12;State of Acre;Trough
2020-05-13;State of Acre;Trough
2020-05-14;State of Acre;Trough
2020-05-15;State of Acre;Trough
2020-05-16;State of Acre;Trough
2020-05-17;State of Acre;Trough
2020-05-18;State of Acre;Trough
2020-05-19;State of Acre;Trough
2020-05-20;State of Acre;Trough
2020-05-21;State of Acre;Trough
2020-05-22;State of Acre;Trough
2020-05-23;State of Acre;Trough
2020-05-24;State of Acre;Trough
2020-05-25;State of Acre;Trough
2020-05-26;State of Acre;Trough
2020-05-27;State of Acre;Trough
2020-05-28;State of Acre;Trough
2020-05-29;State of Acre;Trough
2020-05-30;State of Acre;Trough
2020-05-31;State of Acre;Trough
2020-06-01;State of Acre;Trough
2020-06-02;State of Acre;Trough
2020-06-03;State of Acre;Trough
2020-06-04;State of Acre;Trough
2020-06-05;State of Acre;Trough
2020-06-06;State of Acre;Trough
2020-06-07;State of Acre;Trough
2020-06-08;State of Acre;Trough
2020-06-09;State of Acre;Trough
2020-06-10;State of Acre;Trough
2020-06-11;State of Acre;Trough
2020-06-12;State of Acre;Trough
2020-06-13;State of Acre;Trough
2020-06-14;State of Acre;Trough
2020-06-15;State of Acre;Trough
2020-06-16;State of Acre;Trough
2020-06-17;State of Acre;Trough
2020-06-18;State of Acre;Trough
2020-06-19;State of Acre;Trough
2020-06-20;State of Acre;Trough
2020-06-21;State of Acre;Trough
2020-06-22;State of Acre;Trough
2020-06-23;State of Acre;Trough
2020-06-24;State of Acre;Trough
2020-06-25;State of Acre;Trough
2020-06-26;State of Acre;Trough
2020-06-27;State of Acre;Trough
2020-06-28;State of Acre;Trough
2020-06-29;State of Acre;Trough
2020-06-30;State of Acre;Trough
2020-07-01;State of Acre;Trough
2020-07-02;State of Acre;Trough
2020-07-03;State of Acre;Trough
2020-07-04;State of Acre;Trough
2020-07-05;State of Acre;Trough
2020-07-06;State of Acre;Trough
2020-07-07;State of Acre;Trough
2020-07-08;State of Acre;Trough
2020-07-09;State of Acre;Trough
2020-07-10;State of Acre;Trough
2020-07-11;State of Acre;Trough
2020-07-12;State of Acre;Trough
2020-07-13;State of Acre;Trough
2020-07-14;State of Acre;Trough
2020-07-15;State of Acre;Trough
2020-07-16;State of Acre;Trough
2020-07-17;State of Acre;Trough
2020-07-18;State of Acre;Trough
2020-07-19;State of Acre;Trough
2020-07-20;State of Acre;Trough
2020-07-21;State of Acre;Trough
2020-07-22;State of Acre;Trough
2020-07-23;State of Acre;Trough
2020-07-24;State of Acre;Trough
2020-07-25;State of Acre;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of Amazonas;Preparation
2020-02-26;State of Amazonas;Preparation
2020-02-27;State of Amazonas;Preparation
2020-02-28;State of Amazonas;Preparation
2020-02-29;State of Amazonas;Preparation
2020-03-01;State of Amazonas;Preparation
2020-03-02;State of Amazonas;Preparation
2020-03-03;State of Amazonas;Preparation
2020-03-04;State of Amazonas;Preparation
2020-03-05;State of Amazonas;Preparation
2020-03-06;State of Amazonas;Preparation
2020-03-07;State of Amazonas;Preparation
2020-03-08;State of Amazonas;Preparation
2020-03-09;State of Amazonas;Preparation
2020-03-10;State of Amazonas;Preparation
2020-03-11;State of Amazonas;Preparation
2020-03-12;State of Amazonas;Preparation
2020-03-13;State of Amazonas;Preparation
2020-03-14;State of Amazonas;Preparation
2020-03-15;State of Amazonas;Preparation
2020-03-16;State of Amazonas;Preparation
2020-03-17;State of Amazonas;Preparation
2020-03-18;State of Amazonas;Preparation
2020-03-19;State of Amazonas;Response
2020-03-20;State of Amazonas;Response
2020-03-21;State of Amazonas;Response
2020-03-22;State of Amazonas;Response
2020-03-23;State of Amazonas;Response
2020-03-24;State of Amazonas;Response
2020-03-25;State of Amazonas;Response
2020-03-26;State of Amazonas;Response
2020-03-27;State of Amazonas;Response
2020-03-28;State of Amazonas;Response
2020-03-29;State of Amazonas;Response
2020-03-30;State of Amazonas;Response
2020-03-31;State of Amazonas;Trough
2020-04-01;State of Amazonas;Trough
2020-04-02;State of Amazonas;Trough
2020-04-03;State of Amazonas;Trough
2020-04-04;State of Amazonas;Trough
2020-04-05;State of Amazonas;Trough
2020-04-06;State of Amazonas;Trough
2020-04-07;State of Amazonas;Trough
2020-04-08;State of Amazonas;Trough
2020-04-09;State of Amazonas;Trough
2020-04-10;State of Amazonas;Trough
2020-04-11;State of Amazonas;Trough
2020-04-12;State of Amazonas;Trough
2020-04-13;State of Amazonas;Trough
2020-04-14;State of Amazonas;Trough
2020-04-15;State of Amazonas;Trough
2020-04-16;State of Amazonas;Trough
2020-04-17;State of Amazonas;Trough
2020-04-18;State of Amazonas;Trough
2020-04-19;State of Amazonas;Trough
2020-04-20;State of Amazonas;Trough
2020-04-21;State of Amazonas;Trough
2020-04-22;State of Amazonas;Trough
2020-04-23;State of Amazonas;Trough
2020-04-24;State of Amazonas;Trough
2020-04-25;State of Amazonas;Trough
2020-04-26;State of Amazonas;Trough
2020-04-27;State of Amazonas;Trough
2020-04-28;State of Amazonas;Trough
2020-04-29;State of Amazonas;Trough
2020-04-30;State of Amazonas;Trough
2020-05-01;State of Amazonas;Trough
2020-05-02;State of Amazonas;Trough
2020-05-03;State of Amazonas;Trough
2020-05-04;State of Amazonas;Trough
2020-05-05;State of Amazonas;Trough
2020-05-06;State of Amazonas;Trough
2020-05-07;State of Amazonas;Trough
2020-05-08;State of Amazonas;Trough
2020-05-09;State of Amazonas;Trough
2020-05-10;State of Amazonas;Trough
2020-05-11;State of Amazonas;Trough
2020-05-12;State of Amazonas;Trough
2020-05-13;State of Amazonas;Trough
2020-05-14;State of Amazonas;Trough
2020-05-15;State of Amazonas;Trough
2020-05-16;State of Amazonas;Trough
2020-05-17;State of Amazonas;Trough
2020-05-18;State of Amazonas;Trough
2020-05-19;State of Amazonas;Trough
2020-05-20;State of Amazonas;Trough
2020-05-21;State of Amazonas;Trough
2020-05-22;State of Amazonas;Trough
2020-05-23;State of Amazonas;Trough
2020-05-24;State of Amazonas;Trough
2020-05-25;State of Amazonas;Trough
2020-05-26;State of Amazonas;Trough
2020-05-27;State of Amazonas;Trough
2020-05-28;State of Amazonas;Trough
2020-05-29;State of Amazonas;Trough
2020-05-30;State of Amazonas;Trough
2020-05-31;State of Amazonas;Trough
2020-06-01;State of Amazonas;Trough
2020-06-02;State of Amazonas;Trough
2020-06-03;State of Amazonas;Trough
2020-06-04;State of Amazonas;Trough
2020-06-05;State of Amazonas;Trough
2020-06-06;State of Amazonas;Trough
2020-06-07;State of Amazonas;Trough
2020-06-08;State of Amazonas;Trough
2020-06-09;State of Amazonas;Trough
2020-06-10;State of Amazonas;Trough
2020-06-11;State of Amazonas;Trough
2020-06-12;State of Amazonas;Trough
2020-06-13;State of Amazonas;Trough
2020-06-14;State of Amazonas;Trough
2020-06-15;State of Amazonas;Trough
2020-06-16;State of Amazonas;Trough
2020-06-17;State of Amazonas;Trough
2020-06-18;State of Amazonas;Trough
2020-06-19;State of Amazonas;Trough
2020-06-20;State of Amazonas;Trough
2020-06-21;State of Amazonas;Trough
2020-06-22;State of Amazonas;Trough
2020-06-23;State of Amazonas;Trough
2020-06-24;State of Amazonas;Trough
2020-06-25;State of Amazonas;Trough
2020-06-26;State of Amazonas;Trough
2020-06-27;State of Amazonas;Trough
2020-06-28;State of Amazonas;Trough
2020-06-29;State of Amazonas;Trough
2020-06-30;State of Amazonas;Trough
2020-07-01;State of Amazonas;Trough
2020-07-02;State of Amazonas;Trough
2020-07-03;State of Amazonas;Trough
2020-07-04;State of Amazonas;Trough
2020-07-05;State of Amazonas;Trough
2020-07-06;State of Amazonas;Trough
2020-07-07;State of Amazonas;Trough
2020-07-08;State of Amazonas;Trough
2020-07-09;State of Amazonas;Trough
2020-07-10;State of Amazonas;Trough
2020-07-11;State of Amazonas;Trough
2020-07-12;State of Amazonas;Trough
2020-07-13;State of Amazonas;Trough
2020-07-14;State of Amazonas;Trough
2020-07-15;State of Amazonas;Trough
2020-07-16;State of Amazonas;Trough
2020-07-17;State of Amazonas;Trough
2020-07-18;State of Amazonas;Trough
2020-07-19;State of Amazonas;Trough
2020-07-20;State of Amazonas;Trough
2020-07-21;State of Amazonas;Trough
2020-07-22;State of Amazonas;Trough
2020-07-23;State of Amazonas;Trough
2020-07-24;State of Amazonas;Trough
2020-07-25;State of Amazonas;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of Roraima;Preparation
2020-02-26;State of Roraima;Preparation
2020-02-27;State of Roraima;Preparation
2020-02-28;State of Roraima;Preparation
2020-02-29;State of Roraima;Preparation
2020-03-01;State of Roraima;Preparation
2020-03-02;State of Roraima;Preparation
2020-03-03;State of Roraima;Preparation
2020-03-04;State of Roraima;Preparation
2020-03-05;State of Roraima;Preparation
2020-03-06;State of Roraima;Preparation
2020-03-07;State of Roraima;Preparation
2020-03-08;State of Roraima;Preparation
2020-03-09;State of Roraima;Preparation
2020-03-10;State of Roraima;Preparation
2020-03-11;State of Roraima;Preparation
2020-03-12;State of Roraima;Preparation
2020-03-13;State of Roraima;Preparation
2020-03-14;State of Roraima;Preparation
2020-03-15;State of Roraima;Preparation
2020-03-16;State of Roraima;Preparation
2020-03-17;State of Roraima;Preparation
2020-03-18;State of Roraima;Preparation
2020-03-19;State of Roraima;Preparation
2020-03-20;State of Roraima;Response
2020-03-21;State of Roraima;Response
2020-03-22;State of Roraima;Response
2020-03-23;State of Roraima;Response
2020-03-24;State of Roraima;Response
2020-03-25;State of Roraima;Response
2020-03-26;State of Roraima;Response
2020-03-27;State of Roraima;Response
2020-03-28;State of Roraima;Response
2020-03-29;State of Roraima;Response
2020-03-30;State of Roraima;Trough
2020-03-31;State of Roraima;Trough
2020-04-01;State of Roraima;Trough
2020-04-02;State of Roraima;Trough
2020-04-03;State of Roraima;Trough
2020-04-04;State of Roraima;Trough
2020-04-05;State of Roraima;Trough
2020-04-06;State of Roraima;Trough
2020-04-07;State of Roraima;Trough
2020-04-08;State of Roraima;Trough
2020-04-09;State of Roraima;Trough
2020-04-10;State of Roraima;Trough
2020-04-11;State of Roraima;Trough
2020-04-12;State of Roraima;Trough
2020-04-13;State of Roraima;Trough
2020-04-14;State of Roraima;Trough
2020-04-15;State of Roraima;Trough
2020-04-16;State of Roraima;Trough
2020-04-17;State of Roraima;Trough
2020-04-18;State of Roraima;Trough
2020-04-19;State of Roraima;Trough
2020-04-20;State of Roraima;Trough
2020-04-21;State of Roraima;Trough
2020-04-22;State of Roraima;Trough
2020-04-23;State of Roraima;Trough
2020-04-24;State of Roraima;Trough
2020-04-25;State of Roraima;Trough
2020-04-26;State of Roraima;Trough
2020-04-27;State of Roraima;Trough
2020-04-28;State of Roraima;Trough
2020-04-29;State of Roraima;Trough
2020-04-30;State of Roraima;Trough
2020-05-01;State of Roraima;Trough
2020-05-02;State of Roraima;Trough
2020-05-03;State of Roraima;Trough
2020-05-04;State of Roraima;Trough
2020-05-05;State of Roraima;Trough
2020-05-06;State of Roraima;Trough
2020-05-07;State of Roraima;Trough
2020-05-08;State of Roraima;Trough
2020-05-09;State of Roraima;Trough
2020-05-10;State of Roraima;Trough
2020-05-11;State of Roraima;Trough
2020-05-12;State of Roraima;Trough
2020-05-13;State of Roraima;Trough
2020-05-14;State of Roraima;Trough
2020-05-15;State of Roraima;Trough
2020-05-16;State of Roraima;Trough
2020-05-17;State of Roraima;Trough
2020-05-18;State of Roraima;Trough
2020-05-19;State of Roraima;Trough
2020-05-20;State of Roraima;Trough
2020-05-21;State of Roraima;Trough
2020-05-22;State of Roraima;Trough
2020-05-23;State of Roraima;Trough
2020-05-24;State of Roraima;Trough
2020-05-25;State of Roraima;Trough
2020-05-26;State of Roraima;Trough
2020-05-27;State of Roraima;Trough
2020-05-28;State of Roraima;Trough
2020-05-29;State of Roraima;Trough
2020-05-30;State of Roraima;Trough
2020-05-31;State of Roraima;Trough
2020-06-01;State of Roraima;Trough
2020-06-02;State of Roraima;Trough
2020-06-03;State of Roraima;Trough
2020-06-04;State of Roraima;Trough
2020-06-05;State of Roraima;Trough
2020-06-06;State of Roraima;Trough
2020-06-07;State of Roraima;Trough
2020-06-08;State of Roraima;Trough
2020-06-09;State of Roraima;Trough
2020-06-10;State of Roraima;Trough
2020-06-11;State of Roraima;Trough
2020-06-12;State of Roraima;Trough
2020-06-13;State of Roraima;Trough
2020-06-14;State of Roraima;Trough
2020-06-15;State of Roraima;Trough
2020-06-16;State of Roraima;Trough
2020-06-17;State of Roraima;Trough
2020-06-18;State of Roraima;Trough
2020-06-19;State of Roraima;Trough
2020-06-20;State of Roraima;Trough
2020-06-21;State of Roraima;Trough
2020-06-22;State of Roraima;Trough
2020-06-23;State of Roraima;Trough
2020-06-24;State of Roraima;Trough
2020-06-25;State of Roraima;Trough
2020-06-26;State of Roraima;Trough
2020-06-27;State of Roraima;Trough
2020-06-28;State of Roraima;Trough
2020-06-29;State of Roraima;Trough
2020-06-30;State of Roraima;Trough
2020-07-01;State of Roraima;Trough
2020-07-02;State of Roraima;Trough
2020-07-03;State of Roraima;Trough
2020-07-04;State of Roraima;Trough
2020-07-05;State of Roraima;Trough
2020-07-06;State of Roraima;Trough
2020-07-07;State of Roraima;Trough
2020-07-08;State of Roraima;Trough
2020-07-09;State of Roraima;Trough
2020-07-10;State of Roraima;Trough
2020-07-11;State of Roraima;Trough
2020-07-12;State of Roraima;Trough
2020-07-13;State of Roraima;Trough
2020-07-14;State of Roraima;Trough
2020-07-15;State of Roraima;Trough
2020-07-16;State of Roraima;Trough
2020-07-17;State of Roraima;Trough
2020-07-18;State of Roraima;Trough
2020-07-19;State of Roraima;Trough
2020-07-20;State of Roraima;Trough
2020-07-21;State of Roraima;Trough
2020-07-22;State of Roraima;Trough
2020-07-23;State of Roraima;Trough
2020-07-24;State of Roraima;Trough
2020-07-25;State of Roraima;Trough
2020-07-26;;Trough
2020-07-27;;Trough
2020-02-25;State of Pará;Preparation
2020-02-26;State of Pará;Preparation
2020-02-27;State of Pará;Preparation
2020-02-28;State of Pará;Preparation
2020-02-29;State of Pará;Preparation
2020-03-01;State of Pará;Preparation
2020-03-02;State of Pará;Preparation
2020-03-03;State of Pará;Preparation
2020-03-04;State of Pará;Preparation
2020-03-05;State of Pará;Preparation
2020-03-06;State of Pará;Preparation
2020-03-07;State of Pará;Preparation
2020-03-08;State of Pará;Preparation
2020-03-09;State of Pará;Preparation
2020-03-10;State of Pará;Preparation
2020-03-11;State of Pará;Preparation
2020-03-12;State of Pará;Preparation
2020-03-13;State of Pará;Preparation
2020-03-14;State of Pará;Preparation
2020-03-15;State of Pará;Preparation
2020-03-16;State of Pará;Preparation
2020-03-17;State of Pará;Preparation
2020-03-18;State of Pará;Preparation
2020-03-19;State of Pará;Preparation
2020-03-20;State of Pará;Response
2020-03-21;State of Pará;Response
2020-03-22;State of Pará;Response
2020-03-23;State of Pará;Response
2020-03-24;State of Pará;Response
2020-03-25;State of Pará;Response
2020-03-26;State of Pará;Response
2020-03-27;State of Pará;Response
2020-03-28;State of Pará;Trough
2020-03-29;State of Pará;Trough
2020-03-30;State of Pará;Trough
2020-03-31;State of Pará;Trough
2020-04-01;State of Pará;Trough
2020-04-02;State of Pará;Trough
2020-04-03;State of Pará;Trough
2020-04-04;State of Pará;Trough
2020-04-05;State of Pará;Trough
2020-04-06;State of Pará;Trough
2020-04-07;State of Pará;Trough
2020-04-08;State of Pará;Trough
2020-04-09;State of Pará;Trough
2020-04-10;State of Pará;Trough
2020-04-11;State of Pará;Trough
2020-04-12;State of Pará;Trough
2020-04-13;State of Pará;Trough
2020-04-14;State of Pará;Trough
2020-04-15;State of Pará;Trough
2020-04-16;State of Pará;Trough
2020-04-17;State of Pará;Trough
2020-04-18;State of Pará;Trough
2020-04-19;State of Pará;Trough
2020-04-20;State of Pará;Trough
2020-04-21;State of Pará;Trough
2020-04-22;State of Pará;Trough
2020-04-23;State of Pará;Trough
2020-04-24;State of Pará;Trough
2020-04-25;State of Pará;Trough
2020-04-26;State of Pará;Trough
2020-04-27;State of Pará;Trough
2020-04-28;State of Pará;Trough
2020-04-29;State of Pará;Trough
2020-04-30;State of Pará;Trough
2020-05-01;State of Pará;Trough
2020-05-02;State of Pará;Trough
2020-05-03;State of Pará;Trough
2020-05-04;State of Pará;Trough
2020-05-05;State of Pará;Trough
2020-05-06;State of Pará;Trough
2020-05-07;State of Pará;Trough
2020-05-08;State of Pará;Trough
2020-05-09;State of Pará;Trough
2020-05-10;State of Pará;Trough
2020-05-11;State of Pará;Trough
2020-05-12;State of Pará;Trough
2020-05-13;State of Pará;Trough
2020-05-14;State of Pará;Trough
2020-05-15;State of Pará;Trough
2020-05-16;State of Pará;Trough
2020-05-17;State of Pará;Trough
2020-05-18;State of Pará;Trough
2020-05-19;State of Pará;Trough
2020-05-20;State of Pará;Trough
2020-05-21;State of Pará;Trough
2020-05-22;State of Pará;Trough
2020-05-23;State of Pará;Trough
2020-05-24;State of Pará;Trough
2020-05-25;State of Pará;Trough
2020-05-26;State of Pará;Trough
2020-05-27;State of Pará;Trough
2020-05-28;State of Pará;Trough
2020-05-29;State of Pará;Trough
2020-05-30;State of Pará;Trough
2020-05-31;State of Pará;Trough
2020-06-01;State of Pará;Trough
2020-06-02;State of Pará;Trough
2020-06-03;State of Pará;Trough
2020-06-04;State of Pará;Trough
2020-06-05;State of Pará;Trough
2020-06-06;State of Pará;Trough
2020-06-07;State of Pará;Trough
2020-06-08;State of Pará;Trough
2020-06-09;State of Pará;Trough
2020-06-10;State of Pará;Trough
2020-06-11;State of Pará;Trough
2020-06-12;State of Pará;Trough
2020-06-13;State of Pará;Trough
2020-06-14;State of Pará;Trough
2020-06-15;State of Pará;Trough
2020-06-16;State of Pará;Trough
2020-06-17;State of Pará;Trough
2020-06-18;State of Pará;Trough
2020-06-19;State of Pará;Trough
2020-06-20;State of Pará;Trough
2020-06-21;State of Pará;Trough
2020-06-22;State of Pará;Trough
2020-06-23;State of Pará;Trough
2020-06-24;State of Pará;Trough
2020-06-25;State of Pará;Trough
2020-06-26;State of Pará;Trough
2020-06-27;State of Pará;Trough
2020-06-28;State of Pará;Trough
2020-06-29;State of Pará;Trough
2020-06-30;State of Pará;Trough
2020-07-01;State of Pará;Trough
2020-07-02;State of Pará;Trough
2020-07-03;State of Pará;Trough
2020-07-04;State of Pará;Trough
2020-07-05;State of Pará;Trough
